employee_id,age,department,job_role,education,education_field,monthly_income,job_satisfaction,work_life_balance,env_satisfaction,performance_rating,overtime,years_at_company,years_in_role,years_since_promo,num_companies_worked,distance_from_home,training_last_year,stock_option_level,attrition,dept_enc,role_enc,edu_field_enc,attrition_risk_score,risk_tier
18,30,Sales,HR Manager,1,Medical,20000.0,4,1,2,3,1,1,0,0,4,12,0,2,0,7,3,3,0.3721919301306977,Medium Risk
19,31,R&D,HR Manager,4,Life Sciences,40500.0,4,1,3,4,0,10,3,0,2,17,3,1,0,6,3,1,0.030330034666829632,Low Risk
20,41,R&D,Manager,5,Marketing,21800.0,2,3,4,3,0,6,1,4,3,2,2,0,0,6,4,2,0.04333161568938136,Low Risk
21,29,Operations,HR Manager,4,Technical Degree,20700.0,4,4,4,2,0,2,2,1,2,7,0,3,0,5,3,5,0.042494121094676165,Low Risk
22,38,Engineering,Research Scientist,2,Medical,20000.0,4,2,3,3,0,5,1,6,0,1,2,0,0,0,5,3,0.24519018829072725,Low Risk
23,28,Engineering,Research Scientist,2,Life Sciences,20000.0,1,4,4,3,0,0,0,4,3,1,1,1,0,0,5,1,0.3305651614054751,Medium Risk
24,34,Finance,Manager,3,Human Resources,20000.0,2,3,2,3,0,2,2,5,2,26,1,2,0,1,4,0,0.5799506205516836,Medium Risk
25,32,Sales,HR Manager,4,Other,20000.0,4,2,3,3,0,7,0,0,2,28,2,2,0,7,3,4,0.3623465903393965,Medium Risk
26,31,R&D,HR Manager,3,Marketing,20000.0,3,2,4,4,0,2,0,0,3,1,0,0,0,6,3,2,0.31883853326093414,Medium Risk
27,28,Sales,Sales Executive,1,Technical Degree,20000.0,3,4,3,1,0,4,0,2,0,25,5,0,1,7,6,5,0.7468468029408679,High Risk
28,35,R&D,Research Scientist,4,Marketing,20200.0,4,4,3,3,1,5,0,1,3,6,2,2,0,6,5,2,0.18127030597226387,Low Risk
29,37,Sales,Manager,2,Other,20000.0,4,4,2,3,0,7,4,5,0,3,3,1,0,7,4,4,0.12680419625071354,Low Risk
30,44,HR,Analyst,3,Marketing,20000.0,3,4,3,3,0,0,0,0,3,3,3,1,0,2,0,2,0.2524866596851715,Low Risk
31,30,Finance,HR Manager,3,Medical,20000.0,3,4,1,3,0,5,2,3,2,5,3,2,0,1,3,3,0.16510495285145613,Low Risk
32,36,R&D,Research Scientist,4,Technical Degree,20000.0,3,4,3,3,1,14,0,0,1,30,1,1,0,6,5,5,0.2986095438732088,Low Risk
33,55,Sales,Analyst,3,Marketing,20000.0,4,1,3,3,0,0,0,1,3,19,2,1,1,7,0,2,0.6369252691440692,High Risk
34,39,Sales,Analyst,3,Technical Degree,20000.0,4,2,4,3,0,0,0,6,1,6,2,2,0,7,0,5,0.4272258657840738,Medium Risk
35,40,Sales,Manager,3,Marketing,20000.0,3,3,3,3,0,30,5,4,2,1,0,2,0,7,4,2,0.05362286177345423,Low Risk
36,39,Engineering,Research Scientist,3,Marketing,20200.0,4,1,4,3,0,2,2,1,2,3,4,2,1,0,5,2,0.5574037855493831,Medium Risk
37,22,Marketing,Sales Executive,4,Medical,20000.0,4,3,1,3,0,4,4,0,3,10,4,0,0,4,6,3,0.22978311693938364,Low Risk
38,33,R&D,HR Manager,4,Human Resources,20000.0,2,3,2,3,0,2,1,0,5,1,3,0,0,6,3,0,0.3546122827392363,Medium Risk
39,22,Operations,Manager,3,Technical Degree,20000.0,2,3,4,3,1,11,0,0,2,4,2,0,0,5,4,5,0.2181826792504749,Low Risk
40,43,HR,Research Scientist,2,Other,20000.0,4,2,4,4,0,3,3,2,2,6,0,0,0,2,5,4,0.3179665018569466,Medium Risk
41,51,Finance,Research Scientist,2,Human Resources,24500.0,2,4,3,4,1,2,1,2,4,3,2,1,0,1,5,0,0.03384827733959753,Low Risk
42,31,Sales,HR Manager,2,Medical,20000.0,1,3,4,3,0,9,4,0,0,18,5,1,0,7,3,3,0.3032620313596294,Medium Risk
43,51,Sales,Research Scientist,4,Marketing,20000.0,3,2,4,3,0,2,2,0,3,6,1,1,0,7,5,2,0.3923306464980997,Medium Risk
44,25,R&D,Engineer,4,Marketing,20000.0,2,3,2,3,0,35,2,0,2,15,2,1,0,6,2,2,0.19558246125046413,Low Risk
45,25,Sales,Research Scientist,3,Marketing,20000.0,4,4,2,3,0,3,3,3,6,11,1,2,0,7,5,2,0.2805419449915651,Low Risk
46,40,Sales,Director,4,Life Sciences,20000.0,2,3,1,3,1,5,0,3,0,1,3,1,0,7,1,1,0.24802502137858387,Low Risk
47,28,Sales,Manager,4,Human Resources,20000.0,3,2,3,4,0,2,2,7,1,11,1,1,0,7,4,0,0.45809230093449504,Medium Risk
48,31,R&D,HR Manager,4,Medical,20000.0,3,2,3,4,0,3,0,1,4,27,5,0,0,6,3,3,0.6115425284606973,High Risk
49,45,R&D,Research Scientist,3,Human Resources,20000.0,3,3,4,3,0,4,4,2,0,1,3,1,0,6,5,0,0.15880905957636396,Low Risk
50,27,Engineering,Sales Executive,3,Human Resources,20000.0,3,3,4,3,0,3,1,2,1,4,1,2,0,0,6,0,0.2408229974069291,Low Risk
51,33,R&D,Analyst,4,Other,20000.0,4,3,2,3,0,3,1,2,1,6,3,2,0,6,0,4,0.23072234192027452,Low Risk
52,34,Marketing,HR Manager,4,Other,20000.0,3,3,3,3,0,5,0,3,4,6,3,2,0,4,3,4,0.28906636555310716,Low Risk
53,39,Operations,Analyst,3,Medical,20900.0,3,3,1,3,0,14,3,3,3,4,3,0,0,5,0,3,0.004744754834511972,Low Risk
54,42,Sales,Sales Executive,3,Medical,20000.0,3,3,3,4,0,3,3,0,2,6,0,1,0,7,6,3,0.18545789725872822,Low Risk
55,35,HR,HR Manager,4,Other,20000.0,4,3,1,3,0,1,1,0,1,8,2,1,0,2,3,4,0.3407433020889772,Medium Risk
56,25,R&D,Research Scientist,2,Life Sciences,20600.0,3,3,2,3,0,0,0,0,1,6,2,3,0,6,5,1,0.04426594310476413,Low Risk
57,45,Engineering,Engineer,1,Human Resources,20000.0,2,3,2,3,0,18,2,5,3,30,2,3,1,0,2,0,0.5926835821016241,Medium Risk
58,60,R&D,Engineer,4,Medical,20000.0,2,3,3,3,0,1,1,2,2,11,2,1,0,6,2,3,0.5421177518736038,Medium Risk
59,43,Engineering,Research Scientist,2,Technical Degree,20000.0,3,3,2,3,0,2,2,0,6,10,3,0,0,0,5,5,0.31121085560954453,Medium Risk
60,41,Finance,Research Scientist,5,Human Resources,20000.0,4,3,3,3,0,2,0,1,4,1,5,0,0,1,5,0,0.22910142483345436,Low Risk
61,32,Engineering,Analyst,3,Technical Degree,20000.0,3,3,2,3,1,2,0,3,3,1,3,3,1,0,0,5,0.2760123990861932,Low Risk
62,33,Finance,Sales Executive,2,Medical,30200.0,3,4,1,3,1,10,3,0,1,1,1,1,0,1,6,3,0.007717013097185861,Low Risk
63,23,HR,HR Manager,4,Medical,27300.0,2,4,3,3,0,1,0,5,0,9,2,1,0,2,3,3,0.04081948272843114,Low Risk
64,41,Operations,Director,3,Marketing,20000.0,4,2,4,3,0,2,2,1,1,10,4,1,1,5,1,2,0.5906445219106045,Medium Risk
65,34,Sales,Research Scientist,2,Other,20000.0,3,2,3,3,0,11,2,4,4,2,6,1,0,7,5,4,0.12768360691323177,Low Risk
66,47,Legal,Research Scientist,4,Other,20000.0,3,3,4,3,0,0,0,4,4,4,5,1,1,3,5,4,0.5536681294371558,Medium Risk
67,26,R&D,Director,4,Medical,22800.0,4,3,3,3,1,8,3,1,1,26,3,1,0,6,1,3,0.036001140952938875,Low Risk
68,48,Engineering,Manager,5,Other,40900.0,2,3,4,3,0,3,2,0,2,4,1,2,0,0,4,4,0.04588172596124419,Low Risk
69,33,Finance,Engineer,1,Medical,20000.0,2,4,3,3,0,0,0,0,3,1,4,0,0,1,2,3,0.2984389843286118,Low Risk
70,30,R&D,Sales Executive,2,Human Resources,20000.0,3,4,4,3,0,3,2,6,5,4,4,1,0,6,6,0,0.2666583409814079,Low Risk
71,31,Engineering,Sales Executive,4,Human Resources,20000.0,3,3,4,3,1,17,4,9,2,18,2,2,0,0,6,0,0.2024777083502314,Low Risk
72,30,Finance,Sales Executive,4,Marketing,21300.0,4,2,4,3,1,1,1,6,2,1,2,1,0,1,6,2,0.09569401324443998,Low Risk
73,22,Marketing,HR Manager,2,Other,20000.0,2,2,4,3,1,4,0,0,5,3,1,0,0,4,3,4,0.3919936445680787,Medium Risk
74,41,R&D,Sales Executive,3,Medical,35600.0,3,3,4,3,1,12,0,3,2,5,5,2,0,6,6,3,0.028868244378959313,Low Risk
75,42,Engineering,HR Manager,4,Life Sciences,20000.0,3,3,3,2,1,1,1,8,1,1,3,2,0,0,3,1,0.2614638351567978,Low Risk
76,47,Sales,Research Scientist,2,Life Sciences,20000.0,2,4,3,3,0,11,1,0,3,29,2,1,0,7,5,1,0.30568590034004844,Medium Risk
77,42,Sales,Sales Executive,3,Human Resources,20000.0,3,3,2,3,0,14,1,4,5,1,2,1,0,7,6,0,0.06616602718095488,Low Risk
78,41,Engineering,HR Manager,4,Marketing,20000.0,3,4,2,3,0,5,5,0,2,1,2,0,0,0,3,2,0.1655406154506468,Low Risk
79,22,Finance,Sales Executive,5,Human Resources,20000.0,3,3,3,3,0,3,3,5,3,17,6,1,0,1,6,0,0.3560704420423543,Medium Risk
80,37,R&D,Manager,3,Technical Degree,20000.0,3,3,4,3,1,2,0,8,2,12,0,1,0,6,4,5,0.5226679337529974,Medium Risk
81,25,Marketing,Manager,5,Human Resources,23100.0,4,4,4,3,0,2,0,2,4,11,3,2,0,4,4,0,0.030291621530741705,Low Risk
82,33,R&D,Engineer,3,Medical,20000.0,2,3,3,3,0,3,0,0,1,10,3,0,0,6,2,3,0.44502392296006205,Medium Risk
83,48,Sales,Engineer,4,Medical,23600.0,4,3,4,3,0,3,2,1,1,17,1,2,0,7,2,3,0.0530230745020621,Low Risk
84,36,Marketing,Research Scientist,2,Technical Degree,20000.0,2,4,3,3,0,8,4,0,5,4,1,1,0,4,5,5,0.11650107485637388,Low Risk
85,22,Sales,Manager,1,Life Sciences,20000.0,4,2,3,3,0,3,0,0,3,15,4,2,0,7,4,1,0.5312460461327483,Medium Risk
86,26,R&D,Director,4,Human Resources,20000.0,3,4,4,3,0,8,3,1,3,4,2,2,0,6,1,0,0.10677311545026423,Low Risk
87,30,Engineering,Director,3,Other,20000.0,3,3,4,3,0,2,2,2,3,8,1,1,0,0,1,4,0.2693913220443145,Low Risk
88,33,Engineering,Manager,3,Life Sciences,20000.0,3,4,3,3,0,13,2,4,1,7,1,0,0,0,4,1,0.0801148950407229,Low Risk
89,44,Sales,Sales Executive,5,Medical,28800.0,2,3,3,3,0,2,2,3,4,8,1,1,0,7,6,3,0.04549734831982284,Low Risk
90,43,Operations,Research Scientist,4,Other,20000.0,3,2,2,3,0,3,1,2,0,4,1,1,1,5,5,4,0.5466587599456861,Medium Risk
91,43,HR,Manager,4,Technical Degree,22900.0,3,2,3,3,0,9,1,0,0,28,2,3,0,2,4,5,0.054353718350042025,Low Risk
92,38,Sales,Engineer,3,Marketing,20000.0,3,2,4,3,0,10,0,0,2,2,2,1,0,7,2,2,0.16987060569495516,Low Risk
93,33,Engineering,Analyst,4,Human Resources,20000.0,3,4,2,2,0,0,0,0,1,22,3,2,0,0,0,0,0.5378321780866444,Medium Risk
94,32,R&D,HR Manager,5,Technical Degree,20000.0,2,3,4,3,1,8,0,1,3,1,3,1,0,6,3,5,0.2562378687605618,Low Risk
95,39,HR,Director,3,Other,20000.0,2,3,4,3,0,22,1,6,5,1,3,2,1,2,1,4,0.05799539891487251,Low Risk
96,44,Engineering,Engineer,3,Other,31600.0,3,1,4,4,0,6,1,2,0,1,1,2,0,0,2,4,0.015997642280372572,Low Risk
97,49,R&D,Director,4,Marketing,20000.0,3,3,3,3,0,4,1,2,3,1,4,0,0,6,1,2,0.22237939692706174,Low Risk
98,36,R&D,Director,4,Technical Degree,20000.0,3,3,4,3,1,0,0,1,9,5,3,0,0,6,1,5,0.5136444767196714,Medium Risk
99,38,R&D,Analyst,3,Other,27900.0,3,3,2,3,0,4,4,4,0,18,2,3,0,6,0,4,0.06692545625201016,Low Risk
100,49,Finance,Engineer,2,Medical,23900.0,3,2,3,3,0,12,1,4,1,7,2,1,0,1,2,3,0.01891582741056562,Low Risk
101,26,R&D,Sales Executive,3,Other,20000.0,3,3,3,3,0,0,0,0,2,12,1,2,0,6,6,4,0.43207094166638377,Medium Risk
102,43,R&D,HR Manager,4,Human Resources,20000.0,2,2,3,3,1,16,1,6,2,1,3,0,0,6,3,0,0.15615041948093955,Low Risk
103,28,Engineering,Manager,3,Marketing,20000.0,3,3,3,3,0,2,2,0,3,4,5,2,0,0,4,2,0.24225075798360898,Low Risk
104,50,Sales,Research Scientist,3,Marketing,20000.0,3,2,4,3,0,4,3,0,2,9,3,3,0,7,5,2,0.2718581377612065,Low Risk
105,48,Operations,HR Manager,4,Life Sciences,20000.0,1,4,1,3,0,2,1,2,5,8,3,2,0,5,3,1,0.4825728472369261,Medium Risk
106,50,Engineering,Director,3,Human Resources,20000.0,2,2,3,3,0,0,0,1,8,9,3,1,0,0,1,0,0.48493720145874425,Medium Risk
107,49,Engineering,Manager,2,Technical Degree,20000.0,3,4,2,3,0,8,0,1,3,4,4,1,0,0,4,5,0.15634686226065947,Low Risk
108,43,R&D,HR Manager,2,Marketing,20000.0,3,2,3,3,0,0,0,9,1,13,1,1,1,6,3,2,0.8254713015233881,High Risk
109,26,R&D,Manager,2,Other,20700.0,3,4,3,3,0,5,0,0,2,13,5,2,0,6,4,4,0.1256613026580173,Low Risk
110,40,Finance,HR Manager,5,Medical,20000.0,3,3,4,3,1,0,0,4,4,4,5,0,1,1,3,3,0.5245548731970292,Medium Risk
111,44,Marketing,Sales Executive,4,Life Sciences,20000.0,2,2,2,3,1,12,12,1,4,15,0,0,0,4,6,1,0.28914668035120533,Low Risk
112,40,Sales,Research Scientist,3,Marketing,20000.0,1,1,3,4,0,6,0,5,1,13,2,0,1,7,5,2,0.8345385171084635,High Risk
113,34,R&D,Director,2,Medical,20000.0,3,2,4,3,1,3,3,1,0,2,4,0,1,6,1,3,0.6314458643463969,High Risk
114,37,Sales,HR Manager,2,Marketing,20000.0,2,3,4,3,1,7,0,1,5,9,2,0,0,7,3,2,0.4314233921605741,Medium Risk
115,39,Finance,Engineer,4,Medical,20400.0,1,4,2,3,0,2,1,2,1,11,1,2,0,1,2,3,0.3276305805570128,Medium Risk
116,26,R&D,Research Scientist,4,Marketing,20000.0,3,3,4,3,1,5,0,1,0,11,4,0,0,6,5,2,0.4328396765591891,Medium Risk
117,42,Engineering,Sales Executive,3,Technical Degree,20000.0,3,4,2,4,1,0,0,2,1,15,4,2,1,0,6,5,0.6670656902041497,High Risk
118,40,Sales,Manager,1,Medical,20000.0,3,3,3,3,0,0,0,4,2,9,4,3,0,7,4,3,0.4863730619928526,Medium Risk
119,34,R&D,Engineer,4,Life Sciences,20000.0,3,3,4,4,0,1,1,0,0,1,2,2,0,6,2,1,0.1901973579944283,Low Risk
120,42,R&D,Manager,2,Life Sciences,20000.0,3,3,2,3,0,15,1,2,4,4,3,1,0,6,4,1,0.08167672069528913,Low Risk
121,46,Engineering,Analyst,4,Marketing,28700.0,4,4,2,3,0,0,0,0,4,1,1,0,0,0,0,2,0.013992156134258077,Low Risk
122,26,Finance,Sales Executive,2,Marketing,20000.0,3,3,3,3,0,10,2,0,3,3,2,0,0,1,6,2,0.055425112662171275,Low Risk
123,49,Finance,Sales Executive,2,Marketing,20000.0,1,4,3,3,0,7,3,0,2,2,2,0,0,1,6,2,0.17843961086839855,Low Risk
124,45,Operations,HR Manager,2,Marketing,20000.0,4,3,1,3,0,1,0,1,6,6,3,1,0,5,3,2,0.30564686270145336,Medium Risk
125,45,Engineering,Manager,5,Medical,20000.0,3,2,3,4,0,3,1,0,1,3,2,0,0,0,4,3,0.3559765782890221,Medium Risk
126,44,R&D,Research Scientist,1,Medical,20000.0,1,2,4,3,0,6,5,2,3,16,2,0,1,6,5,3,0.8014669933153534,High Risk
127,42,R&D,Manager,1,Marketing,35400.0,1,2,4,3,0,26,2,1,3,15,3,1,0,6,4,2,0.09157332144962255,Low Risk
128,36,Engineering,Research Scientist,1,Life Sciences,20000.0,4,3,3,3,0,2,1,0,4,7,2,0,0,0,5,1,0.30784402599797156,Medium Risk
129,29,HR,Manager,2,Human Resources,24200.0,3,1,2,3,0,11,0,5,2,1,3,1,0,2,4,0,0.0130288575878866,Low Risk
130,40,Engineering,Analyst,1,Marketing,20000.0,3,2,3,3,0,1,1,3,4,1,2,0,0,0,0,2,0.37662234066363587,Medium Risk
131,37,R&D,Engineer,3,Marketing,20000.0,3,3,1,3,0,1,0,1,0,4,3,1,0,6,2,2,0.2992374277116122,Low Risk
132,29,Legal,Manager,2,Technical Degree,23900.0,4,3,2,4,0,14,2,1,5,11,3,0,0,3,4,5,0.014737925110964447,Low Risk
133,51,Sales,Engineer,1,Other,20000.0,2,4,1,3,0,1,0,1,3,4,2,1,0,7,2,4,0.3319150499546263,Medium Risk
134,43,R&D,Analyst,4,Other,20000.0,1,2,3,3,0,3,1,4,1,7,2,1,1,6,0,4,0.7867152702466806,High Risk
135,33,R&D,Engineer,3,Technical Degree,28100.0,1,4,3,3,0,6,5,3,3,30,1,1,0,6,2,5,0.08289325541143375,Low Risk
136,22,R&D,Analyst,2,Technical Degree,34100.0,3,3,4,3,0,14,3,1,1,5,2,2,0,6,0,5,0.00905708440402427,Low Risk
137,28,Sales,Engineer,3,Other,35700.0,3,3,2,4,0,3,0,6,5,3,2,1,0,7,2,4,0.04133129172184476,Low Risk
138,40,Legal,Engineer,3,Medical,20000.0,2,3,4,3,1,1,1,7,8,4,2,0,1,3,2,3,0.7394665818855224,High Risk
139,33,R&D,Sales Executive,3,Life Sciences,20000.0,1,4,3,3,0,6,6,0,1,4,3,3,0,6,6,1,0.2230298938458262,Low Risk
140,24,Legal,HR Manager,4,Other,50800.0,1,1,4,4,0,6,2,0,3,11,3,0,0,3,3,4,0.09129129874423575,Low Risk
141,38,Finance,Engineer,5,Human Resources,20000.0,2,3,4,3,0,5,0,0,1,7,0,1,0,1,2,0,0.29913565837212286,Low Risk
142,34,Operations,Manager,2,Marketing,28900.0,3,3,4,3,1,8,4,0,1,18,3,1,0,5,4,2,0.05579808309646394,Low Risk
143,32,R&D,Analyst,1,Life Sciences,29600.0,2,4,1,3,1,4,0,6,2,16,6,1,0,6,0,1,0.07462494291899711,Low Risk
144,24,Finance,Engineer,3,Medical,20000.0,4,4,3,3,0,13,3,0,3,10,5,2,0,1,2,3,0.04094041094793331,Low Risk
145,39,Sales,HR Manager,3,Other,20000.0,3,4,2,3,0,8,7,2,3,17,1,0,0,7,3,4,0.21866779376451725,Low Risk
146,26,Sales,Analyst,4,Technical Degree,20000.0,2,4,1,3,0,1,1,3,1,4,4,3,0,7,0,5,0.24007745637087322,Low Risk
147,34,Sales,Sales Executive,2,Marketing,21900.0,3,3,3,3,0,4,0,4,5,5,1,0,0,7,6,2,0.05032786166589875,Low Risk
148,46,Marketing,HR Manager,4,Marketing,20000.0,2,3,4,3,0,1,1,7,4,6,0,1,0,4,3,2,0.46187246740313365,Medium Risk
149,47,R&D,Analyst,3,Human Resources,22300.0,3,2,4,3,1,16,0,1,2,16,3,1,0,6,0,0,0.03507765001993724,Low Risk
150,34,Sales,Manager,3,Other,20000.0,1,3,2,3,0,7,5,10,2,2,5,2,1,7,4,4,0.5959605072623014,Medium Risk
151,22,Engineering,Analyst,4,Life Sciences,20000.0,4,3,3,3,0,3,3,4,4,6,4,0,0,0,0,1,0.19217501357821212,Low Risk
152,42,R&D,HR Manager,3,Human Resources,20000.0,2,3,2,3,0,0,0,1,2,30,1,2,1,6,3,0,0.8219809287184493,High Risk
153,27,R&D,Analyst,3,Medical,20000.0,4,3,4,3,1,5,4,0,2,2,1,1,0,6,0,3,0.08492526002406706,Low Risk
154,23,R&D,Analyst,3,Other,20000.0,4,2,3,3,0,5,3,4,1,13,2,1,0,6,0,4,0.517609869790538,Medium Risk
155,42,Engineering,Research Scientist,3,Human Resources,20000.0,4,2,2,3,0,2,0,3,2,16,1,2,1,0,5,0,0.5996965988606704,Medium Risk
156,22,R&D,Research Scientist,4,Marketing,20000.0,3,4,3,3,0,12,6,5,4,5,2,0,0,6,5,2,0.05666571091819986,Low Risk
157,42,R&D,Sales Executive,2,Medical,20000.0,3,3,3,4,0,7,3,0,2,2,1,0,0,6,6,3,0.1377893914971765,Low Risk
158,44,Finance,HR Manager,3,Life Sciences,20000.0,3,2,2,3,0,10,0,8,1,1,5,2,0,1,3,1,0.13342678274347594,Low Risk
159,40,R&D,HR Manager,2,Other,20000.0,2,2,4,3,0,2,2,1,4,9,3,3,0,6,3,4,0.47447482738018837,Medium Risk
160,37,Sales,Research Scientist,2,Life Sciences,24200.0,3,3,4,3,1,5,1,4,2,14,4,1,0,7,5,1,0.07249386488048176,Low Risk
161,34,R&D,Director,2,Human Resources,20000.0,4,4,2,3,1,6,4,0,2,18,4,1,0,6,1,0,0.2874357848361011,Low Risk
162,31,Operations,Research Scientist,2,Other,20000.0,3,3,3,3,0,1,1,4,4,2,1,1,0,5,5,4,0.2731852698310698,Low Risk
163,26,R&D,Research Scientist,3,Marketing,20000.0,4,2,4,3,1,1,1,2,2,2,1,0,0,6,5,2,0.40225140361807094,Medium Risk
164,57,R&D,Analyst,3,Life Sciences,20000.0,1,4,3,3,1,3,2,2,2,11,2,0,1,6,0,1,0.6829787745178146,High Risk
165,31,R&D,Research Scientist,4,Technical Degree,20000.0,2,4,4,4,1,10,5,2,8,8,2,1,0,6,5,5,0.3031850310230105,Medium Risk
166,27,Sales,Research Scientist,3,Marketing,20000.0,4,3,3,3,0,20,4,4,1,6,3,0,0,7,5,2,0.03619322011286051,Low Risk
167,35,Sales,HR Manager,1,Marketing,20000.0,3,3,3,3,1,6,1,1,2,7,3,2,0,7,3,2,0.31352250926415526,Medium Risk
168,41,R&D,Engineer,2,Technical Degree,20000.0,3,3,4,4,0,12,2,3,1,2,3,2,0,6,2,5,0.06827659738353815,Low Risk
169,45,R&D,Director,1,Life Sciences,21000.0,2,3,3,4,1,4,2,1,3,10,0,0,0,6,1,1,0.0582070672981026,Low Risk
170,33,R&D,Research Scientist,5,Marketing,20000.0,2,1,3,3,0,2,1,0,3,1,2,2,1,6,5,2,0.44950043113529026,Medium Risk
171,34,R&D,Engineer,3,Medical,20000.0,3,3,2,3,0,12,0,3,1,5,1,2,0,6,2,3,0.0680405971097398,Low Risk
172,28,Engineering,HR Manager,3,Marketing,20000.0,2,1,3,3,1,1,0,4,2,20,1,2,1,0,3,2,0.8793186770203227,High Risk
173,33,Engineering,Manager,4,Other,20000.0,4,2,1,4,0,2,2,0,1,12,3,0,0,0,4,4,0.3326195803080151,Medium Risk
174,43,Operations,HR Manager,5,Technical Degree,20000.0,2,2,2,3,1,15,0,7,3,1,3,2,0,5,3,5,0.21833662818459115,Low Risk
175,35,R&D,Sales Executive,4,Medical,20000.0,4,3,3,3,1,10,7,0,4,5,1,2,0,6,6,3,0.14900477973934897,Low Risk
176,32,Sales,Engineer,2,Other,20000.0,2,3,2,4,0,4,2,5,1,23,0,2,1,7,2,4,0.49408728764045706,Medium Risk
177,37,Operations,Sales Executive,4,Other,20000.0,4,1,2,3,0,4,0,0,1,1,2,0,0,5,6,4,0.2844167466969368,Low Risk
178,28,R&D,HR Manager,2,Other,20000.0,4,2,4,3,1,0,0,0,2,17,6,1,0,6,3,4,0.6500198233062132,High Risk
179,22,R&D,Director,1,Human Resources,36400.0,4,3,3,3,0,7,7,1,0,2,3,2,0,6,1,0,0.017995344483283885,Low Risk
180,31,Engineering,Sales Executive,3,Human Resources,23000.0,2,3,4,4,0,11,6,0,2,1,3,3,0,0,6,0,0.02107267865890507,Low Risk
181,22,Finance,HR Manager,1,Human Resources,50100.0,2,3,4,3,0,7,7,6,3,3,4,2,0,1,3,0,0.030031919512982595,Low Risk
182,33,Marketing,Manager,4,Technical Degree,20000.0,2,2,3,3,0,6,0,2,3,20,1,0,1,4,4,5,0.6631863072720873,High Risk
183,39,Finance,Analyst,2,Human Resources,30900.0,4,4,2,3,0,9,1,2,3,1,4,1,0,1,0,0,0.008433728235970743,Low Risk
184,44,Engineering,Analyst,3,Medical,20000.0,4,3,2,3,0,1,0,0,1,1,2,1,0,0,0,3,0.19585124366733578,Low Risk
185,40,HR,Research Scientist,4,Marketing,20000.0,3,3,4,4,1,13,5,1,5,7,1,0,1,2,5,2,0.6368757584973279,High Risk
186,36,Engineering,HR Manager,5,Human Resources,20000.0,2,3,4,3,0,6,0,1,2,7,4,0,0,0,3,0,0.3591684349807674,Medium Risk
187,26,Operations,Sales Executive,4,Human Resources,20000.0,2,3,4,3,1,1,1,0,3,20,2,0,1,5,6,0,0.805369268898178,High Risk
